Python
SQL
Excel
Advanced Excel
Pandas
NumPy
Power BI
Tableau
Matplotlib
Seaborn
Statistics
Data Cleaning
Data Visualization
Data Analysis
ETL
Dashboard
Reporting
Jupyter Notebook
