Python
Machine Learning
Deep Learning
TensorFlow
PyTorch
Scikit-learn
NLP
Computer Vision
Generative AI
LLM
Prompt Engineering
LangChain
OpenAI API
REST API
Docker
Git
AWS
Model Deployment
