Linux
Windows Server
Active Directory
PowerShell
Bash
Networking
TCP/IP
DNS
DHCP
VMware
Virtualization
Backup
System Monitoring
Cybersecurity
Troubleshooting
Microsoft 365
Azure
Patch Management
