skill
Python
Java
C++
SQL
MySQL
MongoDB
Git
GitHub
HTML
CSS
JavaScript
React
Flask
Streamlit
Machine Learning
Deep Learning
TensorFlow
PyTorch
OpenCV
YOLO
Pandas
NumPy
Scikit-learn
Power BI
Excel
AWS
Azure
Docker
Linux
